Capital,Country,Similarity
taipei,taiwan,0.6600000262260437
belgrade,serbia,0.6000000238418579
damascus,syria,0.6000000238418579
nairobi,kenya,0.5899999737739563
stockholm,sweden,0.5899999737739563
lima,peru,0.5799999833106995
beirut,lebanon,0.5799999833106995
kabul,afghanistan,0.5799999833106995
islamabad,pakistan,0.5699999928474426
beijing,china,0.5600000023841858
brussels,belgium,0.5600000023841858
warsaw,poland,0.5600000023841858
berlin,germany,0.550000011920929
vienna,austria,0.5400000214576721
baghdad,iraq,0.5299999713897705
conakry,guinea,0.5299999713897705
budapest,hungary,0.5199999809265137
ottawa,canada,0.5099999904632568
athens,greece,0.5099999904632568
helsinki,finland,0.5
zagreb,croatia,0.5
cairo,egypt,0.49000000953674316
tbilisi,georgia,0.47999998927116394
kiev,ukraine,0.47999998927116394
paris,france,0.47999998927116394
tokyo,japan,0.47999998927116394
havana,cuba,0.47999998927116394
bucharest,romania,0.4699999988079071
bern,switzerland,0.4699999988079071
bangkok,thailand,0.4699999988079071
moscow,russia,0.46000000834465027
rome,italy,0.44999998807907104
copenhagen,denmark,0.44999998807907104
santiago,chile,0.44999998807907104
dhaka,bangladesh,0.44999998807907104
tehran,iran,0.4399999976158142
dublin,ireland,0.4399999976158142
jakarta,indonesia,0.4300000071525574
lisbon,portugal,0.4300000071525574
oslo,norway,0.41999998688697815
manila,philippines,0.41999998688697815
kingston,jamaica,0.41999998688697815
madrid,spain,0.38999998569488525
hanoi,vietnam,0.3400000035762787
canberra,australia,0.3400000035762787
amman,jordan,0.3199999928474426
sofia,bulgaria,0.30000001192092896
ankara,turkey,0.30000001192092896
abuja,nigeria,NA
london,england/uk/britain,NA
